customer_id,total_orders,total_items,total_spend,total_profit
CUST-01411,26,48,12279.49,5160.99
CUST-01154,29,62,12115.97,5368.47
CUST-01311,33,67,11747.45,5343.45
CUST-01215,35,86,11509.48,5192.48
CUST-01001,24,54,11177.35,5145.35
CUST-01058,28,69,11018.48,5008.48
CUST-01357,31,70,10849.91,4911.91
CUST-01182,35,69,10708.79,4522.29
CUST-01384,23,56,10626.37,4910.37
CUST-01243,37,73,10588.27,4592.27
CUST-01352,22,58,10379.59,4523.09
CUST-01492,24,62,10370.83,4498.83
CUST-01497,27,60,10343.93,4563.93
CUST-01131,31,73,10325.07,4680.07
CUST-01044,26,65,10208.67,4218.67
CUST-01376,29,72,10201.02,4620.52
CUST-01161,25,63,10148.76,4429.76
CUST-01328,25,59,10052.62,4649.12
CUST-01482,35,76,10034.79,4624.29
CUST-01222,27,62,10013.85,4661.35
CUST-01156,30,59,9972.12,4248.12
CUST-01229,17,54,9943.85,4133.85
CUST-01128,31,68,9925.47,4693.47
CUST-01202,24,67,9843.25,4225.25
CUST-01381,27,55,9793.67,4352.67
CUST-01402,31,60,9720.09,4351.09
CUST-01468,24,49,9639.06,4392.56
CUST-01197,23,50,9635.25,4091.75
CUST-01225,35,87,9605.59,4331.59
CUST-01183,27,64,9522.22,3798.72
CUST-01308,30,67,9401.55,4137.05
CUST-01261,26,49,9231.73,4012.23
CUST-01465,29,62,9227.38,3954.88
CUST-01339,34,66,9150.18,4251.68
CUST-01240,20,42,9062.75,4033.75
CUST-01494,31,77,9049.12,4194.12
CUST-01234,41,81,9039.88,4288.88
CUST-01326,30,61,9010.06,3913.56
CUST-01140,25,65,9003.83,3929.83
CUST-01013,25,51,8987.82,4035.82
CUST-01373,28,60,8981.94,4024.94
CUST-01270,29,56,8961.56,3866.56
CUST-01198,29,63,8958.2,4241.2
CUST-01423,27,52,8957.41,3646.41
CUST-01210,24,57,8890.94,4098.44
CUST-01260,30,61,8889.53,3849.53
CUST-01467,21,59,8860.6,3680.6
CUST-01345,31,60,8855.2,3980.2
CUST-01241,28,47,8806.84,3722.84
CUST-01281,25,45,8734.17,3911.67
CUST-01476,20,45,8696.71,4022.21
CUST-01299,25,54,8693.86,3837.86
CUST-01074,29,64,8669.25,3924.25
CUST-01306,26,62,8663.8,3888.8
CUST-01011,30,61,8661.08,3853.08
CUST-01346,27,57,8660.02,3998.02
CUST-01069,30,73,8616.77,3735.27
CUST-01016,38,73,8565.65,3993.15
CUST-01023,30,58,8557.85,3958.85
CUST-01294,29,52,8541.06,3775.56
CUST-01173,29,75,8515.52,4026.52
CUST-01127,22,48,8496.56,3537.56
CUST-01375,27,58,8493.47,3844.47
CUST-01432,37,69,8479.68,3884.18
CUST-01096,29,53,8475.85,3693.85
CUST-01160,28,57,8471.02,3896.52
CUST-01354,26,51,8466.93,3786.43
CUST-01364,32,61,8463.29,3903.29
CUST-01093,31,77,8461.97,3986.47
CUST-01094,30,64,8422.92,3862.92
CUST-01115,29,53,8417.79,3761.79
CUST-01010,25,59,8363.71,3186.21
CUST-01037,27,62,8334.04,3792.54
CUST-01400,29,75,8325.89,3621.89
CUST-01150,25,56,8318.52,3685.02
CUST-01071,21,48,8264.97,3632.47
CUST-01188,24,46,8220.49,3490.99
CUST-01247,30,72,8216.94,4052.94
CUST-01428,28,68,8185.96,3610.96
CUST-01077,24,56,8180.76,3772.76
CUST-01425,30,72,8129.2,3711.7
CUST-01406,31,64,8125.29,3827.29
CUST-01060,28,60,8100.61,3591.11
CUST-01068,24,58,8092.93,3529.43
CUST-01368,22,57,8023.71,3695.71
CUST-01436,28,66,8018.66,3677.66
CUST-01003,27,67,8006.4,3624.4
