order_date,demand,actual_demand,predicted_demand,lower_bound,upper_bound,is_forecast,model_used,forecast_horizon
2023-01-01,32.0,32.0,,,,0,Linear Regression,30
2023-01-02,13.0,13.0,,,,0,Linear Regression,30
2023-01-03,11.0,11.0,,,,0,Linear Regression,30
2023-01-04,8.0,8.0,,,,0,Linear Regression,30
2023-01-05,15.0,15.0,,,,0,Linear Regression,30
2023-01-06,26.0,26.0,,,,0,Linear Regression,30
2023-01-07,30.0,30.0,,,,0,Linear Regression,30
2023-01-08,11.0,11.0,,,,0,Linear Regression,30
2023-01-09,16.0,16.0,,,,0,Linear Regression,30
2023-01-10,13.0,13.0,,,,0,Linear Regression,30
2023-01-11,31.0,31.0,,,,0,Linear Regression,30
2023-01-12,15.0,15.0,,,,0,Linear Regression,30
2023-01-13,25.0,25.0,,,,0,Linear Regression,30
2023-01-14,25.0,25.0,,,,0,Linear Regression,30
2023-01-15,18.0,18.0,,,,0,Linear Regression,30
2023-01-16,22.0,22.0,,,,0,Linear Regression,30
2023-01-17,20.0,20.0,,,,0,Linear Regression,30
2023-01-18,23.0,23.0,,,,0,Linear Regression,30
2023-01-19,20.0,20.0,,,,0,Linear Regression,30
2023-01-20,24.0,24.0,,,,0,Linear Regression,30
2023-01-21,9.0,9.0,,,,0,Linear Regression,30
2023-01-22,18.0,18.0,,,,0,Linear Regression,30
2023-01-23,17.0,17.0,,,,0,Linear Regression,30
2023-01-24,17.0,17.0,,,,0,Linear Regression,30
2023-01-25,19.0,19.0,,,,0,Linear Regression,30
2023-01-26,32.0,32.0,,,,0,Linear Regression,30
2023-01-27,16.0,16.0,,,,0,Linear Regression,30
2023-01-28,23.0,23.0,,,,0,Linear Regression,30
2023-01-29,9.0,9.0,,,,0,Linear Regression,30
2023-01-30,9.0,9.0,,,,0,Linear Regression,30
2023-01-31,20.0,20.0,,,,0,Linear Regression,30
2023-02-01,11.0,11.0,,,,0,Linear Regression,30
2023-02-02,22.0,22.0,,,,0,Linear Regression,30
2023-02-03,31.0,31.0,,,,0,Linear Regression,30
2023-02-04,22.0,22.0,,,,0,Linear Regression,30
2023-02-05,15.0,15.0,,,,0,Linear Regression,30
2023-02-06,9.0,9.0,,,,0,Linear Regression,30
2023-02-07,16.0,16.0,,,,0,Linear Regression,30
2023-02-08,14.0,14.0,,,,0,Linear Regression,30
2023-02-09,23.0,23.0,,,,0,Linear Regression,30
2023-02-10,16.0,16.0,,,,0,Linear Regression,30
2023-02-11,4.0,4.0,,,,0,Linear Regression,30
2023-02-12,23.0,23.0,,,,0,Linear Regression,30
2023-02-13,16.0,16.0,,,,0,Linear Regression,30
2023-02-14,13.0,13.0,,,,0,Linear Regression,30
2023-02-15,16.0,16.0,,,,0,Linear Regression,30
2023-02-16,24.0,24.0,,,,0,Linear Regression,30
2023-02-17,13.0,13.0,,,,0,Linear Regression,30
2023-02-18,18.0,18.0,,,,0,Linear Regression,30
2023-02-19,12.0,12.0,,,,0,Linear Regression,30
2023-02-20,4.0,4.0,,,,0,Linear Regression,30
2023-02-21,7.0,7.0,,,,0,Linear Regression,30
2023-02-22,30.0,30.0,,,,0,Linear Regression,30
2023-02-23,19.0,19.0,,,,0,Linear Regression,30
2023-02-24,14.0,14.0,,,,0,Linear Regression,30
2023-02-25,13.0,13.0,,,,0,Linear Regression,30
2023-02-26,23.0,23.0,,,,0,Linear Regression,30
2023-02-27,15.0,15.0,,,,0,Linear Regression,30
2023-02-28,17.0,17.0,,,,0,Linear Regression,30
2023-03-01,29.0,29.0,,,,0,Linear Regression,30
2023-03-02,27.0,27.0,,,,0,Linear Regression,30
2023-03-03,13.0,13.0,,,,0,Linear Regression,30
2023-03-04,19.0,19.0,,,,0,Linear Regression,30
2023-03-05,20.0,20.0,,,,0,Linear Regression,30
2023-03-06,21.0,21.0,,,,0,Linear Regression,30
2023-03-07,39.0,39.0,,,,0,Linear Regression,30
2023-03-08,33.0,33.0,,,,0,Linear Regression,30
2023-03-09,22.0,22.0,,,,0,Linear Regression,30
2023-03-10,18.0,18.0,,,,0,Linear Regression,30
2023-03-11,14.0,14.0,,,,0,Linear Regression,30
2023-03-12,16.0,16.0,,,,0,Linear Regression,30
2023-03-13,24.0,24.0,,,,0,Linear Regression,30
2023-03-14,14.0,14.0,,,,0,Linear Regression,30
2023-03-15,26.0,26.0,,,,0,Linear Regression,30
2023-03-16,14.0,14.0,,,,0,Linear Regression,30
2023-03-17,14.0,14.0,,,,0,Linear Regression,30
2023-03-18,16.0,16.0,,,,0,Linear Regression,30
2023-03-19,17.0,17.0,,,,0,Linear Regression,30
2023-03-20,20.0,20.0,,,,0,Linear Regression,30
2023-03-21,15.0,15.0,,,,0,Linear Regression,30
2023-03-22,30.0,30.0,,,,0,Linear Regression,30
2023-03-23,25.0,25.0,,,,0,Linear Regression,30
2023-03-24,15.0,15.0,,,,0,Linear Regression,30
2023-03-25,20.0,20.0,,,,0,Linear Regression,30
2023-03-26,20.0,20.0,,,,0,Linear Regression,30
2023-03-27,57.0,57.0,,,,0,Linear Regression,30
2023-03-28,21.0,21.0,,,,0,Linear Regression,30
2023-03-29,31.0,31.0,,,,0,Linear Regression,30
2023-03-30,25.0,25.0,,,,0,Linear Regression,30
2023-03-31,23.0,23.0,,,,0,Linear Regression,30
2023-04-01,18.0,18.0,,,,0,Linear Regression,30
2023-04-02,27.0,27.0,,,,0,Linear Regression,30
2023-04-03,37.0,37.0,,,,0,Linear Regression,30
2023-04-04,30.0,30.0,,,,0,Linear Regression,30
2023-04-05,14.0,14.0,,,,0,Linear Regression,30
2023-04-06,17.0,17.0,,,,0,Linear Regression,30
2023-04-07,22.0,22.0,,,,0,Linear Regression,30
2023-04-08,20.0,20.0,,,,0,Linear Regression,30
2023-04-09,12.0,12.0,,,,0,Linear Regression,30
2023-04-10,27.0,27.0,,,,0,Linear Regression,30
2023-04-11,26.0,26.0,,,,0,Linear Regression,30
2023-04-12,27.0,27.0,,,,0,Linear Regression,30
2023-04-13,28.0,28.0,,,,0,Linear Regression,30
2023-04-14,8.0,8.0,,,,0,Linear Regression,30
2023-04-15,16.0,16.0,,,,0,Linear Regression,30
2023-04-16,17.0,17.0,,,,0,Linear Regression,30
2023-04-17,29.0,29.0,,,,0,Linear Regression,30
2023-04-18,22.0,22.0,,,,0,Linear Regression,30
2023-04-19,25.0,25.0,,,,0,Linear Regression,30
2023-04-20,16.0,16.0,,,,0,Linear Regression,30
2023-04-21,22.0,22.0,,,,0,Linear Regression,30
2023-04-22,20.0,20.0,,,,0,Linear Regression,30
2023-04-23,18.0,18.0,,,,0,Linear Regression,30
2023-04-24,3.0,3.0,,,,0,Linear Regression,30
2023-04-25,29.0,29.0,,,,0,Linear Regression,30
2023-04-26,14.0,14.0,,,,0,Linear Regression,30
2023-04-27,23.0,23.0,,,,0,Linear Regression,30
2023-04-28,22.0,22.0,,,,0,Linear Regression,30
2023-04-29,16.0,16.0,,,,0,Linear Regression,30
2023-04-30,10.0,10.0,,,,0,Linear Regression,30
2023-05-01,31.0,31.0,,,,0,Linear Regression,30
2023-05-02,11.0,11.0,,,,0,Linear Regression,30
2023-05-03,27.0,27.0,,,,0,Linear Regression,30
2023-05-04,17.0,17.0,,,,0,Linear Regression,30
2023-05-05,25.0,25.0,,,,0,Linear Regression,30
2023-05-06,20.0,20.0,,,,0,Linear Regression,30
2023-05-07,14.0,14.0,,,,0,Linear Regression,30
2023-05-08,27.0,27.0,,,,0,Linear Regression,30
2023-05-09,13.0,13.0,,,,0,Linear Regression,30
2023-05-10,22.0,22.0,,,,0,Linear Regression,30
2023-05-11,24.0,24.0,,,,0,Linear Regression,30
2023-05-12,18.0,18.0,,,,0,Linear Regression,30
2023-05-13,21.0,21.0,,,,0,Linear Regression,30
2023-05-14,27.0,27.0,,,,0,Linear Regression,30
2023-05-15,24.0,24.0,,,,0,Linear Regression,30
2023-05-16,35.0,35.0,,,,0,Linear Regression,30
2023-05-17,29.0,29.0,,,,0,Linear Regression,30
2023-05-18,23.0,23.0,,,,0,Linear Regression,30
2023-05-19,15.0,15.0,,,,0,Linear Regression,30
2023-05-20,26.0,26.0,,,,0,Linear Regression,30
2023-05-21,24.0,24.0,,,,0,Linear Regression,30
2023-05-22,10.0,10.0,,,,0,Linear Regression,30
2023-05-23,22.0,22.0,,,,0,Linear Regression,30
2023-05-24,10.0,10.0,,,,0,Linear Regression,30
2023-05-25,21.0,21.0,,,,0,Linear Regression,30
2023-05-26,26.0,26.0,,,,0,Linear Regression,30
2023-05-27,29.0,29.0,,,,0,Linear Regression,30
2023-05-28,23.0,23.0,,,,0,Linear Regression,30
2023-05-29,10.0,10.0,,,,0,Linear Regression,30
2023-05-30,32.0,32.0,,,,0,Linear Regression,30
2023-05-31,9.0,9.0,,,,0,Linear Regression,30
2023-06-01,25.0,25.0,,,,0,Linear Regression,30
2023-06-02,26.0,26.0,,,,0,Linear Regression,30
2023-06-03,24.0,24.0,,,,0,Linear Regression,30
2023-06-04,10.0,10.0,,,,0,Linear Regression,30
2023-06-05,19.0,19.0,,,,0,Linear Regression,30
2023-06-06,19.0,19.0,,,,0,Linear Regression,30
2023-06-07,38.0,38.0,,,,0,Linear Regression,30
2023-06-08,18.0,18.0,,,,0,Linear Regression,30
2023-06-09,20.0,20.0,,,,0,Linear Regression,30
2023-06-10,12.0,12.0,,,,0,Linear Regression,30
2023-06-11,41.0,41.0,,,,0,Linear Regression,30
2023-06-12,15.0,15.0,,,,0,Linear Regression,30
2023-06-13,34.0,34.0,,,,0,Linear Regression,30
2023-06-14,19.0,19.0,,,,0,Linear Regression,30
2023-06-15,22.0,22.0,,,,0,Linear Regression,30
2023-06-16,26.0,26.0,,,,0,Linear Regression,30
2023-06-17,15.0,15.0,,,,0,Linear Regression,30
2023-06-18,18.0,18.0,,,,0,Linear Regression,30
2023-06-19,17.0,17.0,,,,0,Linear Regression,30
2023-06-20,20.0,20.0,,,,0,Linear Regression,30
2023-06-21,30.0,30.0,,,,0,Linear Regression,30
2023-06-22,19.0,19.0,,,,0,Linear Regression,30
2023-06-23,36.0,36.0,,,,0,Linear Regression,30
2023-06-24,30.0,30.0,,,,0,Linear Regression,30
2023-06-25,17.0,17.0,,,,0,Linear Regression,30
2023-06-26,24.0,24.0,,,,0,Linear Regression,30
2023-06-27,14.0,14.0,,,,0,Linear Regression,30
2023-06-28,27.0,27.0,,,,0,Linear Regression,30
2023-06-29,17.0,17.0,,,,0,Linear Regression,30
2023-06-30,24.0,24.0,,,,0,Linear Regression,30
2023-07-01,24.0,24.0,,,,0,Linear Regression,30
2023-07-02,19.0,19.0,,,,0,Linear Regression,30
2023-07-03,37.0,37.0,,,,0,Linear Regression,30
2023-07-04,44.0,44.0,,,,0,Linear Regression,30
2023-07-05,39.0,39.0,,,,0,Linear Regression,30
2023-07-06,9.0,9.0,,,,0,Linear Regression,30
2023-07-07,26.0,26.0,,,,0,Linear Regression,30
2023-07-08,25.0,25.0,,,,0,Linear Regression,30
2023-07-09,19.0,19.0,,,,0,Linear Regression,30
2023-07-10,22.0,22.0,,,,0,Linear Regression,30
