year,month,month_name,monthly_revenue,monthly_profit
2023,1,January,67606.63,30943.63
2023,2,February,59827.9,26847.4
2023,3,March,76728.8,35437.8
2023,4,April,62944.41,29109.91
2023,5,May,73538.31,33973.31
2023,6,June,96985.68,42856.68
2023,7,July,101549.19,45950.19
2023,8,August,104733.94,47427.94
2023,9,September,88455.21,39046.21
2023,10,October,105037.12,47140.12
2023,11,November,94389.51,42823.51
2023,12,December,117007.23,52661.73
2024,1,January,66835.05,30572.55
2024,2,February,60150.31,27537.31
2024,3,March,70836.45,33124.95
2024,4,April,73356.58,34087.08
2024,5,May,73210.55,33510.05
2024,6,June,70790.67,33323.67
2024,7,July,97570.36,44346.86
2024,8,August,87786.84,39094.84
2024,9,September,82895.54,37261.54
2024,10,October,72560.52,32818.02
2024,11,November,108217.4,48656.9
2024,12,December,90121.96,41164.46
2025,1,January,66339.07,29071.57
2025,2,February,65105.68,30146.18
2025,3,March,88241.41,40288.91
2025,4,April,103088.5,46260.0
2025,5,May,74673.04,33930.04
2025,6,June,72537.45,33533.45
2025,7,July,94538.32,42525.82
2025,8,August,85177.34,39026.84
2025,9,September,80292.44,35897.44
2025,10,October,82244.22,37609.72
2025,11,November,95715.45,43298.95
2025,12,December,98158.77,44549.27
